views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,days_to_trend,category_Entertainment,category_Howto & Style,category_Music,category_News & Politics,category_Other,publish_time_day_2,publish_time_day_3,publish_time_day_4,publish_time_day_5,publish_time_day_6,publish_time_day_7,publish_time_day_8,publish_time_day_9,publish_time_day_10,publish_time_day_11,publish_time_day_12,publish_time_day_13,publish_time_day_14,publish_time_day_15,publish_time_day_16,publish_time_day_17,publish_time_day_18,publish_time_day_19,publish_time_day_20,publish_time_day_21,publish_time_day_22,publish_time_day_23,publish_time_day_24,publish_time_day_25,publish_time_day_26,publish_time_day_27,publish_time_day_28,publish_time_day_29,publish_time_day_30,publish_time_day_31,publish_time_dayofweek_Tuesday,publish_time_dayofweek_Wednesday,publish_time_dayofweek_Thursday,publish_time_dayofweek_Friday,publish_time_dayofweek_Saturday,publish_time_dayofweek_Sunday,publish_time_hour_1,publish_time_hour_2,publish_time_hour_3,publish_time_hour_4,publish_time_hour_5,publish_time_hour_6,publish_time_hour_7,publish_time_hour_8,publish_time_hour_9,publish_time_hour_10,publish_time_hour_11,publish_time_hour_12,publish_time_hour_13,publish_time_hour_14,publish_time_hour_15,publish_time_hour_16,publish_time_hour_17,publish_time_hour_18,publish_time_hour_19,publish_time_hour_20,publish_time_hour_21,publish_time_hour_22,publish_time_hour_23,trending_date_day_2,trending_date_day_3,trending_date_day_4,trending_date_day_5,trending_date_day_6,trending_date_day_7,trending_date_day_8,trending_date_day_9,trending_date_day_10,trending_date_day_11,trending_date_day_12,trending_date_day_13,trending_date_day_14,trending_date_day_15,trending_date_day_16,trending_date_day_17,trending_date_day_18,trending_date_day_19,trending_date_day_20,trending_date_day_21,trending_date_day_22,trending_date_day_23,trending_date_day_24,trending_date_day_25,trending_date_day_26,trending_date_day_27,trending_date_day_28,trending_date_day_29,trending_date_day_30,trending_date_day_31
470720,14635,793,2842,False,False,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
184136,6278,278,1466,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
587807,11746,946,2321,False,False,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
181929,578,125,173,False,False,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1199142,118153,2033,16670,False,False,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
375676,12661,532,2264,False,False,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2482985,75253,12812,6357,False,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
262100,1875,303,524,False,False,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
26572,316,21,53,False,False,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
357946,2378,343,492,False,False,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
764097,8659,348,1447,False,False,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
59606,0,0,0,True,True,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
100909,690,377,1114,False,False,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
